Sexy Durga (2017), Drama| Fantasy| Horror| Mystery| Thriller,21-Mar-17,USA,,5.9,85 min,Malayalam,"  INR 6,000,000  ","Directed by Sanal Kumar Sasidharan. With Rajshri Deshpande, Bilas Nair, Arun Sol, Sujish. Durga, a north Indian migrant and a Keralite youth named Kabeer are running away on a midnight. They are waiting for a transport to the nearest railway station to catch a train to a distant place. Two small time gangsters, transporting arms, offer assistance to the couple. The hapless ""Durga"" encounters a cross section of the society through the rest of the night. Parallel to the journey of Durga..."
Circus of the Dead (2014), Action| Horror| Thriller,13-Jan-17,USA,,6,102 min,English,"$150,000 ","Directed by Billy 'Bloody Bill' Pon. With Bill Oberst Jr., Parrish Randall, Chanel Ryan, Roger Edwards. A man becomes entangled in a deadly morality game when the circus comes to town and a sadistic clown forces him to examine the things in life he takes for granted in the most horrific ways."
Zombie Resurrection (2014), Horror,23-Mar-15,UK,NOT RATED,2.7,86 min,English,"  £100,000  ","Directed by Jake Hawkins, Andy Phelps. With Eric Colvin, Jim Sweeney, Danny Brown, Simon Burbage. 15 months after the apocalypse, a group of survivors are forced to take refuge in an abandoned school, where they encounter a mysterious zombie with the power to bring the undead back to life."
Falling (2016), Drama| Horror| Romance| Thriller,8-Apr-16,USA,,7.1,105 min,English,,"Directed by Ali Askari. With Josh Helman, Yael Stone, Jennifer Allcott, Paul Sorvino. After the death of his wife, Sarah, young widower Malcolm is reluctantly trying to put his life back together with the help of his plucky sister-in-law, Dee. When he meets Nya, a free spirited young woman, things seem to be looking up... until he starts seeing his dead wife everywhere, and she's not too happy about the fact that he's dating again."
Bad Behavior (2015), Horror,27-Oct-15,USA,,,64 min,English,"$1,023 ","Directed by Curtis Everitt. With John Langston, Amelia Blue, Rex Roby, Peyton Hicks. Turner takes his friends out to a cabin in the woods. When they get there, they find out that their bad behavior will give way to a sinister turn of events."
Devil's Tower (2014), Horror,16-Sep-14,UK,,3.4,82 min,English,"$3,000,000 ","Directed by Owen Tooth. With Jason Mewes, Roxanne Pallett, Frances Ruffelle, Jessica-Jane Stafford. When Sid's friend goes missing, he and new girl Sarah investigate disappearances in their tower block. Uncovering the secret of a vengeful ghost possessing a horde of zombies, they must fight for their lives - and their souls."
I Am ZoZo (2012), Horror| Thriller,18-Feb-12,USA,UNRATED,3.6,85 min,English,,"Directed by Scott Di Lalla. With Kelly McLaren, Courtney Foxworthy, Demetrius Sager, Caleb Courtney. I Am ZoZo is a psychological thriller about five young people who play with a Ouija board on Halloween and attract the attention of a malevolent demon. The film is based on real experiences with an ancient and malevolent spirit called ZoZo that attaches itself to people exclusively through Ouija boards. I Am ZoZo was shot last fall on location on San Juan Island, WA and Seattle entirely on Kodak ..."
Before Dawn (2013), Horror,8-Jun-13,Japan,NOT RATED,4.7,82 min,English,"  £25,000  ","Directed by Dominic Brunt. With Dominic Brunt, Joanne Mitchell, Eileen O'Brien, Nicky Evans. An estranged couple's vacation to save their troubled relationship goes awry when they find themselves under attack from the walking dead"
Apparition (2015), Fantasy| Horror| Thriller,5-May-15,USA,NOT RATED,4,100 min,English,"$3,000,000 ","Directed by Quinn Saunders. With Katrina Law, Jody Quigley, Lili Bordán, Jarett Armstrong. When Doug's fiancée is killed in a car accident he retreats to their isolated farmhouse to recover from his loss, but supernatural occurrences leave him fearing for his sanity and reveal a secret she took with her to the grave."
Darkroom (2017), Drama| Horror,18-Jan-17,Philippines,,6.6,95 min,Filipino|Tagalog,,"Directed by Pedring Lopez. With Ella Cruz, Bret Jackson, AJ Muhlach, Donnalyn Bartolome."
Don't Look in the Basement 2 (2015), Horror| Thriller,25-May-16,USA,,4,88 min,English,,"Directed by Tony Brownrigg. With Andrew Sensenig, Frank Mosley, Arianne Martin, Jim O'Rear. In 1972, the patients and doctors at Stephens Sanitarium were brutally murdered. Over forty years later, the only known survivor returns only to find the ghosts of the past have not been resting in peace."
2: Voodoo Academy (2012), Horror,1-Oct-12,USA,,4.5,75 min,English,"$1,000,000 ","Directed by David DeCoteau. With Alex Fox, Michelle Bauer, Brandon Schinaman, Josh Randall. Young hot travelers are sidelined by a road blocked with fallen trees, and stop for a night at the mansion belonging to sexy Sebastian. The house has a history of voodoo, mayhem and horror, and new arrivals are fresh meat for the hungry house..."
Return of the Killer Shrews (2012), Horror,2012,USA,,2.7,84 min,English,,"Directed by Steve Latshaw. With John Schneider, Jennifer Lyons, Bruce Davison, James Best. Fifty-three years after being attacked by killer shrews on a remote island, Captain Thorne Sherman is hired by a reality television crew to return to the island in question. The shrews attack again in short order."
Slaughter Drive (2017), Horror,12-Oct-17,USA,,,,English,"$10,000 ","Directed by Ben Dietels. With Vincent Bombara, Chris Crighton, Ben Dietels, Danielle Dietels."
Septic Man (2013), Horror,15-Aug-14,USA,R,4.1,83 min,English,,"Directed by Jesse Thomas Cook. With Jason David Brown, Molly Dunsworth, Julian Richings, Robert Maillet. A sewage worker gets trapped inside a septic tank during a water contamination crisis and undergoes a hideous transformation."
The Perfect House (2013), Horror,2013,USA,,4.3,84 min,English,,"Directed by Kris Hulbert, Randy Kent. With Felissa Rose, Jonathan Tiersten, John Philbin, Dustin Stevens. A young couple's dream home turns into a house of horrors when the disturbing, violent acts of three generations of doomed families is reawakened for them to witness."
Her Cry: La Llorona Investigation (2013), Horror,19-Apr-13,USA,NOT RATED,5.4,89 min,English,"$60,000 ","Directed by Damir Catic. With Nichole Ceballos, James Ezrin, Ron Gelner, Everardo Guzman. Crew of ""Paranormal Legends"" went to film their 4th season at the place where La Llorona (Weeping woman) was reportedly seen. Only thing that's left was 17 hours of tapes and 2 camcorders."
The Canadoo (2016), Horror,2-Nov-16,USA,,4,74 min,English,"$1,500,000 ","Directed by Raymond Wood. With Tyler Buckingham, Alina Lia, Dréy Wigfall, Ali Roberts. When five fame-hungry millennials are chosen to be contestants on a reality survival TV show, it appears they have been given a chance at celebrity stardom - but when a mixture of strange discoveries, unexplained occurrences, and mysterious disappearances plague the group, they begin to turn on one another, wondering if they are actually on a game show or if someone playing a game of their own."
Inoperable (2017), Horror,2017,USA,,,,English,,"Directed by Christopher Lawrence Chapman. With Danielle Harris, Katie Keene, Chris Hahn, Jeff Denton. A young woman wakes up in a seemingly evacuated hospital with a hurricane approaching that has awakened malevolent forces inside. She realizes she must escape the hospital before the hurricane passes, or she will be trapped there forever."
Hellriser (2017), Horror,9-Oct-17,UK,,5,75 min,English,"  £100,000  ","Directed by Steve Lawson. With Steven Dolton, Charlie Bond, Nathan Head, Raven Lee. When their city is rocked by a series of brutal occult murders, veteran detective John Locke and his young partner Terri Keyes are forced to put aside their differences and follow the trail of evidence to a formerly abandoned asylum."
Yaamirukka Bayamey (2014), Comedy| Horror,9-May-14,India,,7.2,125 min,Tamil,,"Directed by Deekay. With Krishna Sekhar, Rupa Manjari, Karunakaran, Oviya. Is a ghost haunting Kiran's ancestral property? Or is it a conman's master moves?"
Grindsploitation (2016), Action| Crime| Horror| Sci-Fi| Thriller,31-Oct-16,USA,UNRATED,6.2,140 min,English,,"Directed by Lloyd Kaufman, James Atkins, Dustin Austen. With P.J. Soles, Lloyd Kaufman, Shawn C. Phillips, Shane Ryan. Exploitation anthology from the twisted minds of established and up and coming directors from across the globe."
Ular Tangga (2017), Horror| Thriller,9-Mar-17,Indonesia,,7.1,,Indonesian,"$1,000,000 ","Directed by Arie Azis. With Ahmad Affandy, Alessia Cestaro, Shareefa Daanish, Egy Fedly. An indigo student who can see something bad is going to happen who come through a dream with her plan and friends for hiking a mountain but no one believe her."
Ek Thi Daayan (2013), Horror| Romance| Thriller,18-Apr-13,India,,5.7,135 min,Hindi,,"Directed by Kannan Iyer. With Emraan Hashmi, Konkona Sen Sharma, Kalki Koechlin, Huma Qureshi. A popular illusionist is haunted by a Daayan witch."
Haunted House on Sorority Row (2014), Horror,21-Feb-14,USA,NOT RATED,5.6,81 min,English,"$65,000 ","Directed by Henrique Couto. With Erin R. Ryan, Marylee Osborne, Iabou Windimere, Joni Durian. A fledging sorority moves into a dilapidated house only to find something evil is lurking in the shadows. Is it an elaborate hazing ritual? Or is something sinister - something paranormal - behind the mental and physical assault?"
Victimized (2014), Drama| Horror| Thriller,27-Sep-14,USA,,6.9,80 min,English,,"Directed by Michael Kenneth Fahr. With Michael Kenneth Fahr, Sarah Nicklin, Cuyle Carvin, Ellen J. Pilch. Matt Miller has spent his entire life living in the shadows of his brother. He believes if his brother were to disappear then so would all his problems. So one deadly night Matt decides to take matters into his own hands."
The Unwanted (2014), Drama| Horror| Mystery| Romance,31-Mar-14,USA,,4,95 min,English,,"Directed by Bret Wood. With Hannah Fierman, Christen Orr, William Katt, Lynn Talley. In this Southern Gothic retelling of Sheridan Le Fanu's vampire story 'Carmilla,' a young drifter (Christen Orr) arrives in a rural town seeking the whereabouts of the mother she never knew. When she becomes sexually involved with an emotionally fragile waitress (Hannah Fierman), she exposes the secret of her mother's disappearance and incites the wrath of the girl's overprotective father (..."
Hotel Inferno (2013), Action| Horror,16-Dec-13,USA,,4.7,80 min,English,,"Directed by Giulio De Santi. With Rayner Bourton, Michael Howe, Jessica Carroll, Christian Riva. A cold-blooded seasoned contract killer is hired to take out a couple hidden in a hotel, but he will soon need to fight not only for his life but also for his soul, as this seemingly easy task will turn the hunter into prey."
Demonte Colony (2015), Horror| Thriller,22-May-15,India,,7,116 min,Tamil,,"Directed by R. Ajay Gnanamuthu. With Arulnidhi, Ramesh Thilak, Sananth, M.S. Bhaskar. After consuming liquor, four friends decide to do something interesting and visit a haunted bungalow. However, they do not realize that they have returned home with an evil spirit."
The Onania Club (2017), Drama| Horror| Thriller,2017,USA,,,,English,,Directed by Tom Six.
Play Motel (1979), Crime| Horror| Romance| Thriller,25-Aug-15,USA,X,5.3,90 min,Italian,,"Directed by Mario Gariazzo. With Ray Lovelock, Anna Maria Rizzoli, Mario Cutini, Antonella Antinori. A reporter and his girlfriend investigate deaths surrounding a hotel where several prominent people go to have sex."
Turned (2015), Drama| Horror,4-Sep-15,USA,,7.3,,English,"$1,000 ","Directed by Chris R. Notarile. With Josh Rothman, Christian Chase, Roberto Lombardi, Athena Brensberger. When Jack, a rough and tough vampire slayer, is bitten by his arch-nemesis Monty, he has but one day left to live before he becomes the very thing he has been hunting for most of his life."
Miss Zombie (2013), Horror,14-Sep-13,Japan,,6.3,85 min,Japanese,,"Directed by SABU. With Makoto Togashi, Ayaka Komatsu, Tôru Tezuka, Tarô Suruga. A Japanese family acquires an undead domestic servant whose presence begins to effect their daily lives."
Bloody Chainsaw Girl (2016), Action| Horror,20-Feb-16,Japan,,4.6,,Japanese,,"Directed by Hiroki Yamaguchi. With Mizuho Abe, Seijirô Nakamura, Ray Nishimura, Kayako Okuda."
Fatal Frame (2014), Horror,26-Sep-14,Japan,,5.8,104 min,Japanese,,"Directed by Mari Asato. With Aoi Morikawa, Ayami Nakajô, Kôdai Asaka, Minori Hagiwara. Michi a student in a conservative all-girls school, must resolve the mysterious disappearances and deaths of her fellow classmates after they found an intriguing but haunting photo of Aya, the best singer of class, who apparently is being held locked in her room, physically but not spiritually... A death curse is placed on anyone who sees Aya's photo, which seems to be taken with a ""Camera ..."
Visceral: Entre las cuerdas de la locura (2012), Horror,29-Nov-12,Chile,,5.4,69 min,Spanish,,"Directed by Felipe Eluti. With Felipe Eluti, Carolina Salles, Felipe Ruiz, José Manuel García. A washed-up boxer finally gets his big chance to prove that he is worthy of the champion's gloves on his much-awaited title fight."
The Dark Castle (2015), Horror| Thriller,28-Mar-15,Indonesia,,,80 min,English|Indonesian,,"Directed by Sasha Mahé. With Rachel Albert, Bruno Henry, Laurent Paris, Rahajeng Sekar Putri. A newlywed couple who go on their honeymoon in St Jean Le Vieux, France are kidnapped by a local mysterious cult."
The Ouija Exorcism (2015), Horror,6-Oct-15,USA,UNRATED,2.1,87 min,English,,"Directed by Nick Slatkin. With J. Damian Anastasio, Brittney Bertier, Cameron Bigelow, Jay Brothers. In 1985, a celebrated exorcist trapped a horrific demon inside a ouija board. Thinking the board to be a game, his son played without obeying the rules, and let the demon loose. In order to save his son, the exorcist sent him far away until the demon could be destroyed. Thirty years later, and after his death, his grandson finds the board and makes the same mistake his father did. Now the evil is..."
Soldiers of the Damned (2015), Action| Horror| Thriller| War,8-Aug-15,UK,,3.6,99 min,English,,"Directed by Mark Nuttall. With Gil Darnell, Miriam Cooke, Lucas Hansen, Tom Sawyer. An evil secret awaits."
Smothered (2016), Comedy| Horror,29-Mar-16,USA,NOT RATED,4.1,96 min,English,,"Directed by John Schneider. With Kane Hodder, R.A. Mihailoff, Bill Moseley, Dane Rhodes. Five horror icons ditch an unprofitable autograph signing convention to earn some extra cash haunting an RV park, but find themselves being haunted instead."
Necrophobia 3D (2014), Horror| Mystery| Thriller,19-Sep-14,USA,,4.2,75 min,Spanish,,"Directed by Daniel de la Vega. With Luis Machín, Raúl Taibo, Viviana Saccone, Gerardo Romano. Dante is a tailor who after losing his twin brother to death became phobic which prevents him from being in contact with death. Whenever he is in front of a dead body, he experiences a creepy feeling that makes him lose his mind."
Roommate (2013), Drama| Horror| Thriller,9-Nov-13,Japan,,5.9,,Japanese,,"Directed by Takeshi Furusawa. With Keiko Kitagawa, Kyoko Fukada, Kengo Kôra, Mariko Tsutsui. Harumi Hagiwara lands in the hospital after being involved in an accident. She hits it off with her nurse, Reiko Nishimura, and the two decide to move in together after she's discharged. However, Harumi begins to witness a series of mysterious events soon after noticing Reiko's strange behavior. Additionally, she fears for her own safety when Reiko starts referring to herself as 'Mari' as if ..."
Kawan Aku Mati Dalam Rumah Sewa (2014), Comedy| Horror,14-Aug-14,Malaysia,,,,Malay,,"With Abam Bocey, Acey Bocey, Fad Bocey, Epy Kodiang. One of their friends accidentally died in their house by mistake. What are they gonna do with their friend's corpse?"
Hate Crime (2012), Action| Horror| Thriller,2012,USA,NOT RATED,5.1,73 min,English,,"Directed by James Cullen Bressack. With Jody Barton, Nicholas Adam Clark, Greg Depetro, Debbie Diesel. A Jewish family, that just arrived in a new neighborhood, are recording their youngest son's birthday celebrations on video when their home is suddenly invaded by a bunch of crystal-meth-crazed Neo-Nazi lunatics."
Scars (2016), Horror,23-Jan-17,UK,,3.9,108 min,English,,"Directed by Sean K. Robb. With Danielle Cole, Neale Kimmel, Matt Wells, Eric Regimbald. SCARS is a psychological thriller, written and directed by Canadian filmmaker Sean K. Robb. In this stark and disturbing story, Scar - a raven-haired punk with blood under her fingernails - and Scarlett - a blond beauty with a penchant for extortion - discover that they enjoy killing men together. 'Killing dudes is easy,' says Scar, as the two women embark on a violent and ruthless killing spree,..."
Legend Has It (2009), Horror,17-Sep-14,UK,NOT RATED,4.1,95 min,English,"$350,000 ","Directed by Max Nikoff. With Todd Oeltze, Julia Fazakerly, Heath Finn, Amanda Ward. A family of four was brutally slaughtered years in their farmhouse, and the killer was never caught. Now, a young film crew returns to find the bloody truth of the murders. Will they come out alive?"
Sociopathia (2015), Horror,19-Nov-15,USA,,4.3,86 min,English,"$750,000 ","Directed by Ruby Larocca, Rich Mallery. With Nicola Fiore, Asta Paredes, Ruby Larocca, Tammy Jean. Introverted and peculiar, Mara spends her days fabricating props for movies. But her reclusive persona conceals an internal wrath. Terrified of being alone, Mara refuses to let her lovers leave, sadistically murdering them and keeping their corpses as living dolls. When she's hired by Kat, a fledgling producer, the two instantly hit it off. As their relationship grows more intense, Mara begins to..."
Echoes (2014), Drama| Horror| Thriller,18-May-15,Sweden,NOT RATED,4.4,93 min,English,,"Directed by Nils Timm. With Kate French, Steven Brand, Steve Hanks, Billy Wirth. Struggling with horrifying, sleep-paralysis induced visions, a young writer retreats with her boyfriend to an isolated desert house. As the visions intensify, she finds herself on the verge of losing her mind...or uncovering a life-threatening secret."
In the Dark (2015), Horror| Thriller,6-Oct-15,USA,TV-MA,4.1,85 min,English,,"Directed by David Buchert, Chris St.Croix. With Scott Aaker, Andria Armstrong, Shannon Beals, Olivia Bishop. Twisted tales of terror featuring an axe wielding maniac, a sinister matchmaker and sin eating creature from hell."
Dabbe: Bir Cin Vakasi (2012), Horror,3-Aug-12,Turkey,,6.3,119 min,Turkish,,"Directed by Hasan Karacadag. With Elcin Atamgüc, Nihan Aypolat, Pervin Bagdat, Elif Erdal. Turkish director Hasan Karacadag is something of an unusual case. In a nation that appears uncertain how to feel about its own history with exploitation film and generally reluctant to embrace genre film - though there are obvious exceptions - Karacadag has jumped headlong into the horror pool. The director first came to attention with the J-horror influenced D@BB, a surprise hit in Turkey that ..."
The Haunter of the Dark (2015), Horror| Thriller,28-Jan-15,Russia,,6.9,83 min,Russian,  RUR 700  ,"Directed by Dmitriy Khmelyov. With Sergey A., Giza, Dmitriy Khmelyov, Vladislav Krivenchuk. Alexey ""Blake"" Blochenkov goes to an old abandoned sanatorium to film a video for his blog. There, he lets out something horrible. An ancient evil. The Haunter Of The Dark."
Hectic Knife (2016), Action| Comedy| Horror,28-Jul-16,USA,,6.6,,English|Spanish,"$15,000 ","Directed by Greg DeLiso. With Peter Litvin, Georgia Kate Haege, J.J. Brine, John Munnelly. A put upon, knife wielding vigilante, Hectic Knife protects the city from scum, baddies and a new super villain bent on world domination, Piggly Doctor."
Toxin: 700 Days Left on Earth (2015), Action| Drama| Horror,19-Apr-15,USA,,8.4,,English,"$30,000 ","Directed by Shawn Welling. With Lee Majors, Isabella Blake-Thomas, Sarati, Elizabeth Blake-Thomas. 700 days after the U.S. president announces a new, rapidly spreading virus, a resulting plague has killed most of humanity and transformed the rest into mutants. The sole survivor, Sarah Teller (Sarati), and her canine companion, Ranger (Max the Dog), struggle valiantly to find a cure and restore the human race. When a mysterious force pulls her to a displaced mansion deep in the Texas hills, ..."
La Niña de la Mina (2016), Horror,1-Jul-16,Mexico,,3.8,82 min,,"$1,200,000 ","Directed by Jorge Eduardo Ramírez. With Gerardo Taracena, Regina Blandón, Daniel Martínez, Thomas Ebert. Arter a tourist disappears inside a mine in Guanajuato, Mat Medina a young expert in mine engineering is hired to make a security diagnostic in the mines of a big company."
Beneath the Old Dark House (2015), Horror,13-Mar-15,USA,,6.5,,English,"$100,000 ","Directed by Jaysen P. Buterin, Matt Cloude, Jesse H. Knight. With Mandy Divine, Tom Gore, Bradley Eugene Greer, Kelli-Anne Harris. Four strangers suddenly awaken deep within the catacombs of a dark and decrepit House, with no memory of how they got there. The only thing they have in common is their being held captive by a Mysterious Man, and it is there in his domain, that he waits to tell these helpless strangers the fates that await them in Beneath the Old Dark House."
Stag Hunt (2015), Adventure| Comedy| Drama| Fantasy| Horror| Thriller,16-May-15,USA,,3.6,94 min,English,"  £400,000  ","Directed by James Shanks. With Mackenzie Astin, Neil Cole, Chris Rogers, Donald Morrison. A stag do in Dartmoor goes horribly wrong when the guys discover they are not alone."
Fetish Dolls Die Laughing (2012), Comedy| Fantasy| Horror,24-Apr-12,USA,NOT RATED,2,100 min,English,"$4,000 ","Directed by David Silvio. With Laura Romeo, Michael McGovern, Aaron Bernard, Angelo Bruni. Do you remember, as a child, when your parents teased you with the ""Tickle Monster""? It turns out that he's more real (and even more malevolent) than you could have ever imagined! With seedy photographer Billy Tagg (Michael McGovern) serving as the ancient entity's latest vessel, the Tickle Monster torments his way through a catalog of Billy's beautiful bondage babes - until no-nonsense homicide ..."
Shame the Devil (2013), Crime| Horror| Thriller,9-Sep-14,USA,NOT RATED,3.5,94 min,English,"$3,000,000 ","Directed by Paul Tanter. With Simon Phillips, Juliette Bennett, Will de Meo, Bradford West. A London detective tracking a serial killer finds the killers ""truth or die"" methods take him to New York to solve the case."
Holla II (2013), Comedy| Horror,19-Apr-13,USA,R,6.9,90 min,English,"$1,000,000 ","Directed by H.M. Coakley. With Vanessa Bell Calloway, Kiely Williams, Greg Cipes, Trae Ireland. After narrowly escaping with her life at the hands of her mentally ill sister Veronica, Monica, with the help of her Mother, Marion, has taken great measures to ensure her safety, including changing her face and relocating to the South. Six years has past and now she finally believes she is safe from Veronica. Little does she know that death and betrayal still await her and her friends on the eve..."
Made Me Do It (2017), Drama| Fantasy| Horror| Thriller,29-Sep-17,USA,,8.3,90 min,English,,"Directed by Benjamin Ironside Koppin. With Anna B. Shaffer, Kyle Van Vonderen, Cortney Palm, Jason Gregory London. College student Ali Hooper and her little brother are attacked by a masked maniac, and the key to them surviving the night lies in unlocking a secret from the killer's past."
The Tale of the Voodoo Prostitute (2012), Horror,5-Jun-12,USA,NOT RATED,4.1,75 min,English,,"Directed by Chaz Buchanan. With Jayde Kelley, Heather McCormick, Charles Buchanan, Martin Ezelle. In the Tale of the Voodoo Prostitute, a master manipulator and hustler by the name of Fleetwood Deville dispenses heinous wrong-doings to nearly everyone that crosses his path. One particular female managed to meet and exceed any expectation of evil. She cursed Fleetwood to a fate even worse than death: impotence. With his harem of beautiful women and killers, Fleetwood must rival neighboring ..."
Necrophile Passion (2013), Horror,18-Aug-13,Germany,,3.1,52 min,German,,"Directed by Tom Heidenberg. With Günther Brandl, Eldrid Remy, Katharina Buchberger, Sandra Pucher. Solitary and alone, left by his girlfriend, after being treated badly by her, a young man finds a female body in the woods. His conscience tells him to call the police, but something inside him, something evil commands him to take the corpse with him and satisfy his darkest desires. His Life is total pieces of trash and only the love to the female corpse gives him the power to continue his life. ..."
Killer Campout (2017), Horror,21-Jul-17,USA,,5.8,86 min,English,,"Directed by Brad Twigg. With Herschell Gordon Lewis, John A. Russo, Nadia White, George Stover. Two youth counselors bring a group of emotionally troubled teens deep into the woods for a weekend of solitude and confrontational therapy. The trip turns deadly when they are terrorized by a cannibalistic hermit with a thirst for blood."
Honeyspider (2014), Horror| Thriller,18-Oct-14,USA,NOT RATED,3.5,76 min,English,,"Directed by Josh Hasty. With Frank J. Aard, Anjali Alm-Basu, Brad Baker, Katie Bearden. It's Halloween day in 1989 and college student Jackie Blue wants to enjoy a quiet birthday in the midst of a chaotic semester at school. Her friend Amber has other ideas and persuades Jackie to come to the annual Monster Mash party on campus after her shift at the local movie theater. As murder plays out on the silver screen during the theater's Halloween night Horrorthon, Jackie falls under a ..."
Pinwheel (2017), Horror,10-Jan-17,USA,,4.7,88 min,English,,"Directed by Daniel Dahlstrom. With Julie Ann Dawson, Ashley Couture, David Gere, Ox Baker. A decade after her mother's murder, Riley Canterbury must return home, after her neglectful, carnival owner father has gone missing. She soon realizes things in this small New England town are much stranger and sinister than she remembered. 10 years after the gruesome murder of her mother, Riley, now 25, is barely skating by in her run down Los Angeles apartment. Upon receiving word that her ..."
Dead Walkers: Rise of the 4th Reich (2013), Horror,31-Jul-13,USA,TV-MA,1.4,75 min,English|English,,"Directed by Philip Gardiner. With Philip Berzamanis, Jane Haslehurst, Bob Lee, Nathan Head. In 1945 the Second World War came to an end and the Nazis fled. Scientists and military elite escaped across borders and found themselves in new worlds. Some fled to Russia, some the United States and others to South America. But there was another division, a forgotten group. A top secret and powerful team of men and women formed in the womb of the Nazi Occult. Now, decades after the war, their ..."
